yr,mon,d,forks
2021,4,12,14
2021,4,13,22
2021,4,14,21
2021,4,15,19
2021,4,16,10
2021,4,17,5
2021,4,18,1
2021,4,19,3
2021,4,20,14
2021,4,21,4
2021,4,22,1
2021,4,23,2
2021,4,24,3
2021,4,25,5
2021,4,26,3
2021,4,27,3
2021,4,28,5
2021,4,29,4
2021,5,1,3
2021,5,2,1
2021,5,3,1
2021,5,4,5
2021,5,5,4
2021,5,9,1
2021,5,12,2
2021,5,13,7
2021,5,14,7
2021,5,15,2
2021,5,16,2
2021,5,17,2
2021,5,18,2
2021,5,19,5
2021,5,20,2
2021,5,21,2
2021,5,24,3
2021,5,25,1
2021,5,26,3
2021,5,27,3
2021,5,28,1
2021,5,29,1
2021,6,1,4
2021,6,2,3
2021,6,3,1
2021,6,5,1
2021,6,7,2
2021,6,8,2
2021,6,10,1
2021,6,11,3
2021,6,14,4
2021,6,15,2
2021,6,16,3
2021,6,17,1
2021,6,21,1
2021,6,22,2
2021,6,23,1
2021,6,24,1
2021,6,28,1
2021,6,30,3
2021,7,1,1
2021,7,3,2
2021,7,6,2
2021,7,7,1
2021,7,8,2
2021,7,9,2
2021,7,11,1
2021,7,13,2
2021,7,14,3
2021,7,15,7
2021,7,16,5
2021,7,18,3
2021,7,19,1
2021,7,20,3
2021,7,21,5
2021,7,22,2
2021,7,23,1
2021,7,24,2
2021,7,27,4
2021,7,28,2
2021,7,29,2
2021,7,31,2
2021,8,2,2
2021,8,3,3
2021,8,5,2
2021,8,7,1
2021,8,8,2
2021,8,9,4
2021,8,10,2
2021,8,11,2
2021,8,12,1
2021,8,13,3
2021,8,14,2
2021,8,15,2
2021,8,16,1
2021,8,17,2
2021,8,18,3
2021,8,20,5
2021,8,22,3
2021,8,23,2
2021,8,24,1
2021,8,29,1
2021,8,30,2
2021,8,31,1
2021,9,9,1
2021,9,10,2
2021,9,11,1
2021,9,12,2
2021,9,13,3
2021,9,14,2
2021,9,15,2
2021,9,17,3
2021,9,18,2
2021,9,19,1
2021,9,20,3
2021,9,22,4
2021,9,24,2
2021,9,27,1
2021,9,28,1
2021,9,30,1
2021,10,1,3
2021,10,2,2
