yr,mon,d,forks
2020,1,1,5
2020,1,2,12
2020,1,3,21
2020,1,4,7
2020,1,5,10
2020,1,6,12
2020,1,7,22
2020,1,8,11
2020,1,9,14
2020,1,10,13
2020,1,11,5
2020,1,12,6
2020,1,13,10
2020,1,14,20
2020,1,15,15
2020,1,16,15
2020,1,17,15
2020,1,18,6
2020,1,19,4
2020,1,20,10
2020,1,21,13
2020,1,22,12
2020,1,23,8
2020,1,24,8
2020,1,25,3
2020,1,26,4
2020,1,27,4
2020,1,28,7
2020,1,29,5
2020,1,30,8
2020,1,31,10
2020,2,1,7
2020,2,2,7
2020,2,3,17
2020,2,4,14
2020,2,5,15
2020,2,6,7
2020,2,7,12
2020,2,8,6
2020,2,9,7
2020,2,10,11
2020,2,11,6
2020,2,12,13
2020,2,13,7
2020,2,14,6
2020,2,15,12
2020,2,16,18
2020,2,17,14
2020,2,18,7
2020,2,19,9
2020,2,20,11
2020,2,21,9
2020,2,22,7
2020,2,23,2
2020,2,24,2
2020,2,25,6
2020,2,26,10
2020,2,27,12
2020,2,28,13
2020,2,29,7
2020,3,1,9
2020,3,2,10
2020,3,3,10
2020,3,4,17
2020,3,5,10
2020,3,6,8
2020,3,7,9
2020,3,8,6
2020,3,9,10
2020,3,10,20
2020,3,11,11
2020,3,12,14
2020,3,13,11
2020,3,14,11
2020,3,15,10
2020,3,16,13
2020,3,17,10
2020,3,18,9
2020,3,19,10
2020,3,20,10
2020,3,21,6
2020,3,22,15
2020,3,23,16
2020,3,24,12
2020,3,25,11
2020,3,26,15
2020,3,27,10
2020,3,28,6
2020,3,29,10
2020,3,30,13
2020,3,31,13
2020,4,1,2
2020,4,2,19
2020,4,3,15
2020,4,4,9
2020,4,5,8
2020,4,6,15
2020,4,7,8
2020,4,8,10
2020,4,9,15
2020,4,10,13
2020,4,11,10
2020,4,12,11
2020,4,13,17
2020,4,14,18
2020,4,15,19
2020,4,16,8
2020,4,17,13
2020,4,18,10
2020,4,19,9
2020,4,20,16
2020,4,21,12
2020,4,22,16
2020,4,23,18
2020,4,24,24
2020,4,25,10
2020,4,26,14
2020,4,27,15
2020,4,28,14
2020,4,29,9
2020,4,30,15
2020,5,1,11
2020,5,2,10
2020,5,3,5
2020,5,4,15
2020,5,5,11
2020,5,6,10
2020,5,7,11
2020,5,8,19
2020,5,9,15
2020,5,10,12
2020,5,11,16
2020,5,12,11
2020,5,13,19
2020,5,14,10
2020,5,15,12
2020,5,16,13
2020,5,17,9
2020,5,18,14
2020,5,19,13
2020,5,20,16
2020,5,21,11
2020,5,22,17
2020,5,23,13
2020,5,24,12
2020,5,25,16
2020,5,26,22
2020,5,27,16
2020,5,28,13
2020,5,29,16
2020,5,30,14
2020,5,31,8
2020,6,1,15
2020,6,2,17
2020,6,3,14
2020,6,4,16
2020,6,5,10
2020,6,6,7
2020,6,7,4
2020,6,8,16
2020,6,9,16
2020,6,10,9
2020,6,11,18
2020,6,12,13
2020,6,13,11
2020,6,14,5
2020,6,15,10
2020,6,16,9
2020,6,17,15
2020,6,18,19
2020,6,19,7
2020,6,20,5
2020,6,21,7
2020,6,22,14
2020,6,23,20
2020,6,24,10
2020,6,25,7
2020,6,26,11
2020,6,27,5
2020,6,28,6
2020,6,29,18
2020,6,30,14
2020,7,1,9
2020,7,2,18
2020,7,3,12
2020,7,4,6
2020,7,5,10
2020,7,6,15
2020,7,7,6
2020,7,8,11
2020,7,9,22
2020,7,10,6
2020,7,11,10
2020,7,12,9
2020,7,13,9
2020,7,14,11
2020,7,15,19
2020,7,16,10
2020,7,17,16
2020,7,18,2
2020,7,19,7
2020,7,20,11
2020,7,21,12
2020,7,22,14
2020,7,23,19
2020,7,24,14
2020,7,25,15
2020,7,26,4
2020,7,27,19
2020,7,28,20
2020,7,29,15
2020,7,30,13
2020,7,31,8
