yr,mon,d,stars
2020,1,1,6
2020,1,2,38
2020,1,3,41
2020,1,4,16
2020,1,5,14
2020,1,6,21
2020,1,7,31
2020,1,8,28
2020,1,9,21
2020,1,10,32
2020,1,11,12
2020,1,12,9
2020,1,13,10
2020,1,14,25
2020,1,15,28
2020,1,16,36
2020,1,17,27
2020,1,18,16
2020,1,19,20
2020,1,20,20
2020,1,21,17
2020,1,22,17
2020,1,23,12
2020,1,24,11
2020,1,25,10
2020,1,26,6
2020,1,27,9
2020,1,28,16
2020,1,29,14
2020,1,30,6
2020,1,31,14
2020,2,1,16
2020,2,2,14
2020,2,3,22
2020,2,4,30
2020,2,5,25
2020,2,6,19
2020,2,7,16
2020,2,8,15
2020,2,9,13
2020,2,10,13
2020,2,11,17
2020,2,12,22
2020,2,13,11
2020,2,14,21
2020,2,15,17
2020,2,16,11
2020,2,17,20
2020,2,18,24
2020,2,19,21
2020,2,20,19
2020,2,21,20
2020,2,22,10
2020,2,23,13
2020,2,24,21
2020,2,25,19
2020,2,26,19
2020,2,27,23
2020,2,28,19
2020,2,29,15
2020,3,1,19
2020,3,2,22
2020,3,3,20
2020,3,4,21
2020,3,5,27
2020,3,6,19
2020,3,7,13
2020,3,8,15
2020,3,9,25
2020,3,10,74
2020,3,11,24
2020,3,12,26
2020,3,13,23
2020,3,14,18
2020,3,15,11
2020,3,16,30
2020,3,17,23
2020,3,18,42
2020,3,19,44
2020,3,20,37
2020,3,21,26
2020,3,22,13
2020,3,23,21
2020,3,24,17
2020,3,25,23
2020,3,26,21
2020,3,27,26
2020,3,28,11
2020,3,29,18
2020,3,30,16
2020,3,31,20
2020,4,1,21
2020,4,2,22
2020,4,3,19
2020,4,4,15
2020,4,5,8
2020,4,6,23
2020,4,7,27
2020,4,8,27
2020,4,9,24
2020,4,10,23
2020,4,11,16
2020,4,12,17
2020,4,13,27
2020,4,14,24
2020,4,15,18
2020,4,16,25
2020,4,17,32
2020,4,18,21
2020,4,19,21
2020,4,20,22
2020,4,21,26
2020,4,22,21
2020,4,23,46
2020,4,24,58
2020,4,25,58
2020,4,26,66
2020,4,27,45
2020,4,28,35
2020,4,29,30
2020,4,30,20
2020,5,1,18
2020,5,2,9
2020,5,3,25
2020,5,4,25
2020,5,5,13
2020,5,6,21
2020,5,7,24
2020,5,8,40
2020,5,9,24
2020,5,10,15
2020,5,11,35
2020,5,12,41
2020,5,13,34
2020,5,14,30
2020,5,15,21
2020,5,16,14
2020,5,17,14
2020,5,18,18
2020,5,19,20
2020,5,20,20
2020,5,21,27
2020,5,22,24
2020,5,23,8
2020,5,24,13
2020,5,25,28
2020,5,26,31
2020,5,27,30
2020,5,28,29
2020,5,29,29
2020,5,30,13
2020,5,31,16
2020,6,1,25
2020,6,2,21
2020,6,3,27
2020,6,4,30
2020,6,5,17
2020,6,6,21
2020,6,7,8
2020,6,8,19
2020,6,9,21
2020,6,10,16
2020,6,11,26
2020,6,12,28
2020,6,13,14
2020,6,14,13
2020,6,15,19
2020,6,16,29
2020,6,17,20
2020,6,18,25
2020,6,19,13
2020,6,20,17
2020,6,21,7
2020,6,22,23
2020,6,23,31
2020,6,24,14
2020,6,25,16
2020,6,26,15
2020,6,27,7
2020,6,28,18
2020,6,29,21
2020,6,30,21
2020,7,1,27
2020,7,2,33
2020,7,3,60
2020,7,4,33
2020,7,5,19
2020,7,6,23
2020,7,7,29
2020,7,8,21
2020,7,9,34
2020,7,10,24
2020,7,11,11
2020,7,12,15
2020,7,13,14
2020,7,14,14
2020,7,15,15
2020,7,16,21
2020,7,17,23
2020,7,18,8
2020,7,19,20
2020,7,20,21
2020,7,21,21
2020,7,22,26
2020,7,23,26
2020,7,24,16
2020,7,25,14
2020,7,26,19
2020,7,27,29
2020,7,28,22
2020,7,29,34
2020,7,30,20
2020,7,31,22
2020,8,1,18
2020,8,2,15
2020,8,3,27
2020,8,4,31
2020,8,5,28
2020,8,6,26
2020,8,7,15
2020,8,8,17
2020,8,9,15
2020,8,10,30
2020,8,11,20
2020,8,12,33
2020,8,13,19
2020,8,14,24
2020,8,15,8
2020,8,16,7
2020,8,17,17
2020,8,18,25
2020,8,19,24
2020,8,20,22
2020,8,21,17
2020,8,23,4
2020,8,24,25
2020,8,25,11
2020,8,26,32
2020,8,27,23
2020,8,28,33
2020,8,29,17
2020,8,30,14
2020,8,31,16
2020,9,1,25
2020,9,2,26
2020,9,3,31
2020,9,4,22
2020,9,5,10
2020,9,6,12
2020,9,7,19
2020,9,8,14
2020,9,9,15
2020,9,10,15
2020,9,11,24
2020,9,12,14
2020,9,13,14
2020,9,14,29
2020,9,15,24
2020,9,16,76
2020,9,17,69
2020,9,18,27
2020,9,19,14
2020,9,20,21
2020,9,21,30
2020,9,22,24
2020,9,23,29
2020,9,24,22
2020,9,25,26
2020,9,26,15
2020,9,27,26
2020,9,28,26
2020,9,29,17
2020,9,30,27
2020,10,1,21
2020,10,2,19
2020,10,3,13
2020,10,4,9
2020,10,5,12
2020,10,6,10
2020,10,7,8
2020,10,8,12
2020,10,9,20
2020,10,10,18
2020,10,11,10
2020,10,12,22
2020,10,13,72
2020,10,14,97
2020,10,15,49
2020,10,16,17
2020,10,17,14
2020,10,18,15
2020,10,19,12
2020,10,20,22
2020,10,21,16
2020,10,22,31
2020,10,23,19
2020,10,24,6
2020,10,25,10
2020,10,26,28
2020,10,27,22
2020,10,28,15
2020,10,29,17
2020,10,30,20
2020,10,31,4
2020,11,1,9
2020,11,2,20
2020,11,3,19
2020,11,4,19
2020,11,5,22
2020,11,6,24
2020,11,7,12
2020,11,8,13
2020,11,9,24
2020,11,10,16
2020,11,11,16
2020,11,12,23
2020,11,13,20
2020,11,14,11
2020,11,15,13
2020,11,16,12
2020,11,17,22
2020,11,18,21
2020,11,19,22
2020,11,20,23
2020,11,21,10
2020,11,22,9
2020,11,23,20
2020,11,24,22
2020,11,25,23
2020,11,26,21
2020,11,27,25
2020,11,28,10
2020,11,29,11
2020,11,30,15
2020,12,1,13
2020,12,2,16
2020,12,3,21
2020,12,4,15
2020,12,5,12
2020,12,6,13
2020,12,7,26
2020,12,8,17
2020,12,9,22
2020,12,10,20
2020,12,11,14
2020,12,12,8
2020,12,13,13
2020,12,14,22
2020,12,15,24
2020,12,16,18
2020,12,17,38
2020,12,18,26
2020,12,19,9
2020,12,20,23
2020,12,21,19
2020,12,22,25
2020,12,23,17
2020,12,24,22
2020,12,25,23
2020,12,26,5
2020,12,27,14
2020,12,28,31
2020,12,29,29
2020,12,30,24
2020,12,31,27
2021,1,1,16
2021,1,2,5
2021,1,3,9
2021,1,4,22
2021,1,5,21
2021,1,6,13
2021,1,7,15
2021,1,8,20
2021,1,9,13
2021,1,10,16
2021,1,11,27
2021,1,12,19
2021,1,13,16
2021,1,14,16
2021,1,15,24
2021,1,16,14
2021,1,17,13
2021,1,18,24
2021,1,19,27
2021,1,20,36
2021,1,21,24
2021,1,22,33
2021,1,23,23
2021,1,24,22
2021,1,25,26
2021,1,26,30
2021,1,27,25
2021,1,28,33
2021,1,29,23
2021,1,30,12
2021,1,31,9
2021,2,1,22
2021,2,2,36
2021,2,3,27
2021,2,4,18
2021,2,5,18
2021,2,6,10
2021,2,7,11
2021,2,8,16
2021,2,9,18
2021,2,10,12
2021,2,11,9
2021,2,12,9
2021,2,13,10
2021,2,14,10
2021,2,15,11
2021,2,16,11
2021,2,17,13
2021,2,18,27
2021,2,19,22
2021,2,20,24
2021,2,21,16
2021,2,22,17
2021,2,23,22
2021,2,24,16
2021,2,25,15
2021,2,26,24
2021,2,27,6
2021,2,28,6
2021,3,1,16
2021,3,2,27
2021,3,3,24
2021,3,4,16
2021,3,5,23
2021,3,6,15
2021,3,7,12
2021,3,8,16
2021,3,9,6
2021,3,10,1
2021,3,11,15
2021,3,12,19
2021,3,13,9
2021,3,14,15
2021,3,15,15
2021,3,16,22
2021,3,17,18
2021,3,18,25
2021,3,19,21
2021,3,20,10
2021,3,21,8
2021,3,22,17
2021,3,23,16
2021,3,24,19
2021,3,25,15
2021,3,26,16
2021,3,27,6
2021,3,28,8
2021,3,29,15
2021,3,30,21
2021,3,31,19
2021,4,1,20
2021,4,2,21
2021,4,3,10
2021,4,4,13
2021,4,5,16
2021,4,6,13
2021,4,7,20
2021,4,8,18
2021,4,9,20
2021,4,10,13
2021,4,11,9
2021,4,12,20
2021,4,13,14
2021,4,14,28
2021,4,15,26
2021,4,16,19
2021,4,17,9
2021,4,18,13
2021,4,19,27
2021,4,20,19
2021,4,21,30
2021,4,22,18
2021,4,23,15
2021,4,24,19
2021,4,25,8
2021,4,26,18
2021,4,27,23
2021,4,28,19
2021,4,29,21
2021,4,30,11
2021,5,1,9
2021,5,2,13
2021,5,3,5
2021,5,4,14
2021,5,5,11
2021,5,6,9
2021,5,7,8
2021,5,9,3
2021,5,12,22
2021,5,13,23
2021,5,14,13
2021,5,15,14
2021,5,16,13
2021,5,17,16
2021,5,18,13
2021,5,19,18
2021,5,20,16
2021,5,21,21
2021,5,22,8
2021,5,23,14
2021,5,24,18
2021,5,25,25
2021,5,26,23
2021,5,27,12
2021,5,28,19
2021,5,29,17
2021,5,30,10
2021,5,31,21
2021,6,1,19
2021,6,2,18
2021,6,3,16
2021,6,4,14
2021,6,5,19
2021,6,6,14
2021,6,7,18
2021,6,8,15
2021,6,9,16
2021,6,10,26
2021,6,11,16
2021,6,12,10
2021,6,13,4
2021,6,14,12
2021,6,15,21
2021,6,16,15
2021,6,17,29
2021,6,18,13
2021,6,19,10
2021,6,20,9
2021,6,21,23
2021,6,22,27
2021,6,23,21
2021,6,24,16
2021,6,25,16
2021,6,26,7
2021,6,27,14
2021,6,28,25
2021,6,29,22
2021,6,30,19
2021,7,1,21
2021,7,2,17
2021,7,3,8
2021,7,4,19
2021,7,5,14
2021,7,6,19
2021,7,7,20
2021,7,8,7
2021,7,9,15
2021,7,10,5
2021,7,11,10
2021,7,12,11
2021,7,13,16
2021,7,14,22
2021,7,15,16
2021,7,16,13
2021,7,17,12
2021,7,18,10
2021,7,19,17
2021,7,20,16
2021,7,21,16
2021,7,22,22
2021,7,23,16
2021,7,24,9
2021,7,25,12
2021,7,26,12
2021,7,27,13
2021,7,28,18
2021,7,29,14
2021,7,30,15
2021,7,31,9
2021,8,1,9
2021,8,2,11
2021,8,3,23
2021,8,4,16
2021,8,5,16
2021,8,6,16
2021,8,7,9
2021,8,8,12
2021,8,9,14
2021,8,10,14
2021,8,11,15
2021,8,12,15
2021,8,13,21
2021,8,14,10
2021,8,15,5
2021,8,16,15
2021,8,17,15
2021,8,18,23
2021,8,19,16
2021,8,20,8
2021,8,21,9
2021,8,22,11
2021,8,23,22
2021,8,24,25
2021,8,28,9
2021,8,29,7
2021,8,30,13
2021,8,31,18
2021,9,1,18
2021,9,2,13
2021,9,3,20
2021,9,4,11
2021,9,5,9
2021,9,6,16
2021,9,7,21
2021,9,8,17
2021,9,9,7
2021,9,10,27
2021,9,11,17
2021,9,12,6
2021,9,13,18
2021,9,14,13
2021,9,15,12
2021,9,16,17
2021,9,17,13
2021,9,18,15
2021,9,19,7
2021,9,20,11
2021,9,21,10
2021,9,22,15
2021,9,23,18
2021,9,24,22
2021,9,25,19
2021,9,26,22
2021,9,27,11
2021,9,28,13
2021,9,29,18
2021,9,30,15
2021,10,1,14
2021,10,2,7
2021,10,3,8
2021,10,4,9
2021,10,5,9
2021,10,7,2
2021,10,8,2
2021,10,9,8
2021,10,10,13
2021,10,11,4
2021,10,12,5
2021,10,13,7
2021,10,14,6
2021,10,15,11
2021,10,16,5
2021,10,17,6
2021,10,18,6
2021,10,19,7
2021,10,20,6
2021,10,21,3
2021,10,22,1
2021,10,29,2
2021,10,30,12
2021,10,31,7
2021,11,1,11
2021,11,2,14
2021,11,3,16
2021,11,4,12
2021,11,5,12
2021,11,6,11
2021,11,7,11
2021,11,8,17
2021,11,9,28
2021,11,10,17
2021,11,11,29
2021,11,12,59
2021,11,13,29
2021,11,14,18
2021,11,15,13
2021,11,16,13
2021,11,17,17
2021,11,18,25
2021,11,19,16
2021,11,20,6
2021,11,21,12
2021,11,22,26
2021,11,23,5
2021,11,24,22
2021,11,25,19
2021,11,26,18
2021,11,27,15
2021,11,28,12
2021,11,29,12
