yr,mon,d,stars
2021,4,12,371
2021,4,13,622
2021,4,14,350
2021,4,15,293
2021,4,16,202
2021,4,17,73
2021,4,18,34
2021,4,19,47
2021,4,20,53
2021,4,21,42
2021,4,22,17
2021,4,23,23
2021,4,24,11
2021,4,25,9
2021,4,26,8
2021,4,27,11
2021,4,28,17
2021,4,29,9
2021,4,30,13
2021,5,1,4
2021,5,2,7
2021,5,3,5
2021,5,4,5
2021,5,5,8
2021,5,6,7
2021,5,7,6
2021,5,9,2
2021,5,12,19
2021,5,13,19
2021,5,14,17
2021,5,15,9
2021,5,16,2
2021,5,17,13
2021,5,18,12
2021,5,19,6
2021,5,20,8
2021,5,21,6
2021,5,22,4
2021,5,23,6
2021,5,24,6
2021,5,25,3
2021,5,26,5
2021,5,27,7
2021,5,28,9
2021,5,29,3
2021,5,30,3
2021,5,31,7
2021,6,1,10
2021,6,2,7
2021,6,3,14
2021,6,4,2
2021,6,5,2
2021,6,6,2
2021,6,7,7
2021,6,8,6
2021,6,9,5
2021,6,10,8
2021,6,11,6
2021,6,12,2
2021,6,13,3
2021,6,14,9
2021,6,15,4
2021,6,16,6
2021,6,17,2
2021,6,18,3
2021,6,19,4
2021,6,20,3
2021,6,21,2
2021,6,22,6
2021,6,23,5
2021,6,24,5
2021,6,25,4
2021,6,26,3
2021,6,27,3
2021,6,28,2
2021,6,29,9
2021,6,30,3
2021,7,1,2
2021,7,2,3
2021,7,3,4
2021,7,4,1
2021,7,5,2
2021,7,6,6
2021,7,7,3
2021,7,8,9
2021,7,9,10
2021,7,11,4
2021,7,12,3
2021,7,13,86
2021,7,14,69
2021,7,15,137
2021,7,16,175
2021,7,17,112
2021,7,18,58
2021,7,19,32
2021,7,20,20
2021,7,21,10
2021,7,22,25
2021,7,23,7
2021,7,24,4
2021,7,25,6
2021,7,26,5
2021,7,27,3
2021,7,28,6
2021,7,29,10
2021,7,30,6
2021,7,31,4
2021,8,1,5
2021,8,2,5
2021,8,3,13
2021,8,4,8
2021,8,5,11
2021,8,6,17
2021,8,7,8
2021,8,8,22
2021,8,9,36
2021,8,10,34
2021,8,11,22
2021,8,12,21
2021,8,13,6
2021,8,14,7
2021,8,15,3
2021,8,16,6
2021,8,17,10
2021,8,18,10
2021,8,19,6
2021,8,20,8
2021,8,21,4
2021,8,22,3
2021,8,23,12
2021,8,24,4
2021,8,28,6
2021,8,29,3
2021,8,30,3
2021,8,31,5
2021,9,1,7
2021,9,2,6
2021,9,3,8
2021,9,4,5
2021,9,5,1
2021,9,6,4
2021,9,7,4
2021,9,8,6
2021,9,9,29
2021,9,10,14
2021,9,11,6
2021,9,12,11
2021,9,13,7
2021,9,14,9
2021,9,15,7
2021,9,16,12
2021,9,17,12
2021,9,18,5
2021,9,19,1
2021,9,20,5
2021,9,21,8
2021,9,22,14
2021,9,23,11
2021,9,24,10
2021,9,25,4
2021,9,26,3
2021,9,27,5
2021,9,28,5
2021,9,29,3
2021,9,30,10
2021,10,1,5
2021,10,3,3
2021,10,4,3
2021,10,5,5
2021,10,8,1
2021,10,9,1
2021,10,10,1
2021,10,12,2
2021,10,13,4
2021,10,14,3
2021,10,15,7
2021,10,17,3
2021,10,18,4
2021,10,19,1
2021,10,20,3
2021,10,21,2
2021,10,29,1
2021,10,30,4
2021,10,31,1
2021,11,1,6
2021,11,2,6
2021,11,3,1
2021,11,4,6
2021,11,5,8
2021,11,6,3
2021,11,7,6
2021,11,8,6
2021,11,9,3
2021,11,10,4
2021,11,11,6
2021,11,12,3
2021,11,13,2
2021,11,14,2
2021,11,15,2
2021,11,16,4
2021,11,17,7
2021,11,18,6
2021,11,19,6
2021,11,20,7
2021,11,21,5
2021,11,22,6
2021,11,23,7
2021,11,24,7
2021,11,26,7
2021,11,27,3
2021,11,28,3
