yr,mon,d,forks
2023,9,20,46
2023,9,21,64
2023,9,22,56
2023,9,23,30
2023,9,24,14
2023,9,25,12
2023,9,26,9
2023,9,27,9
2023,9,28,5
2023,9,29,3
2023,9,30,4
2023,10,1,3
2023,10,2,3
2023,10,3,1
2023,10,4,12
2023,10,5,4
2023,10,6,7
2023,10,7,1
2023,10,8,2
2023,10,9,3
2023,10,10,4
2023,10,11,4
2023,10,12,7
2023,10,13,6
2023,10,14,1
2023,10,15,3
2023,10,16,2
2023,10,17,2
2023,10,18,5
2023,10,19,2
2023,10,20,4
2023,10,21,3
2023,10,23,2
2023,10,24,1
2023,10,25,6
2023,10,26,3
2023,10,27,3
2023,10,28,1
2023,10,29,2
2023,10,31,4
2023,11,1,1
2023,11,3,1
2023,11,4,1
2023,11,5,1
2023,11,6,2
2023,11,7,2
2023,11,8,1
2023,11,9,3
2023,11,10,4
2023,11,12,1
2023,11,13,3
2023,11,14,3
2023,11,16,2
2023,11,17,2
2023,11,20,2
2023,11,24,1
2023,11,25,1
2023,11,27,2
2023,11,28,3
2023,11,29,2
2023,11,30,1
2023,12,1,1
2023,12,7,1
2023,12,8,1
2023,12,9,1
2023,12,10,1
2023,12,13,2
2023,12,14,1
2023,12,15,3
2023,12,17,1
2023,12,18,3
2023,12,19,1
2023,12,20,1
2023,12,21,1
2023,12,22,1
2023,12,23,1
2023,12,24,1
2023,12,25,1
2023,12,27,2
2023,12,28,5
2023,12,31,1
2024,1,1,1
2024,1,2,2
2024,1,3,1
2024,1,4,2
2024,1,6,1
2024,1,7,1
2024,1,9,1
2024,1,10,2
2024,1,11,3
2024,1,12,4
2024,1,13,2
2024,1,14,4
2024,1,15,3
2024,1,16,2
2024,1,17,1
2024,1,19,2
2024,1,20,2
2024,1,21,1
2024,1,22,2
2024,1,23,2
2024,1,24,6
2024,1,25,2
2024,1,26,2
2024,1,27,1
2024,1,28,2
2024,1,29,4
2024,1,30,2
2024,1,31,1
2024,2,1,2
2024,2,2,2
2024,2,4,2
2024,2,5,3
2024,2,6,3
2024,2,8,3
2024,2,9,3
2024,2,10,1
2024,2,11,1
2024,2,12,1
2024,2,13,2
2024,2,14,1
2024,2,15,1
2024,2,16,1
2024,2,19,2
2024,2,20,3
2024,2,22,1
2024,2,24,2
2024,2,25,2
2024,2,26,3
2024,2,27,1
2024,2,29,1
2024,3,2,2
2024,3,3,1
2024,3,4,2
2024,3,5,1
2024,3,6,1
2024,3,7,1
2024,3,10,1
2024,3,12,2
2024,3,13,1
2024,3,14,1
2024,3,15,2
2024,3,16,2
2024,3,17,1
2024,3,18,1
2024,3,19,2
2024,3,22,1
2024,3,23,1
2024,3,24,1
2024,3,26,2
2024,3,27,2
2024,3,28,2
2024,3,29,1
2024,4,1,1
2024,4,2,1
2024,4,3,2
2024,4,4,3
2024,4,5,1
2024,4,6,3
2024,4,8,1
2024,4,10,1
2024,4,11,3
2024,4,12,1
2024,4,13,4
2024,4,14,3
2024,4,15,2
2024,4,16,2
2024,4,17,1
2024,4,18,2
2024,4,19,1
2024,4,20,2
2024,4,21,1
2024,4,22,2
2024,4,23,2
2024,4,24,2
2024,4,25,3
2024,4,26,9
2024,4,27,3
2024,4,28,1
2024,4,29,2
2024,5,1,3
2024,5,3,5
2024,5,5,2
2024,5,7,2
2024,5,8,1
2024,5,9,3
2024,5,10,2
2024,5,11,2
2024,5,12,1
2024,5,14,1
2024,5,15,1
2024,5,16,2
2024,5,17,1
2024,5,18,5
2024,5,20,2
2024,5,21,1
2024,5,22,2
2024,5,24,1
2024,5,25,1
2024,5,26,2
2024,5,27,1
2024,5,28,1
2024,5,29,2
2024,5,31,1
2024,6,1,2
2024,6,2,2
2024,6,3,2
2024,6,4,2
2024,6,5,1
2024,6,6,2
2024,6,10,2
2024,6,12,2
2024,6,14,3
2024,6,17,1
2024,6,18,3
2024,6,20,2
2024,6,23,2
2024,6,24,2
2024,6,26,1
2024,6,27,1
2024,6,28,1
2024,6,30,1
2024,7,1,1
2024,7,3,1
2024,7,4,1
