yr,mon,d,forks
2020,7,7,8
2020,7,8,6
2020,7,9,9
2020,7,10,11
2020,7,11,4
2020,7,12,4
2020,7,13,7
2020,7,14,9
2020,7,15,12
2020,7,16,7
2020,7,17,12
2020,7,18,6
2020,7,19,4
2020,7,20,9
2020,7,21,9
2020,7,22,12
2020,7,23,18
2020,7,24,8
2020,7,25,7
2020,7,26,5
2020,7,27,11
2020,7,28,3
2020,7,29,6
2020,7,30,8
2020,7,31,5
2020,8,1,9
2020,8,2,8
2020,8,3,12
2020,8,4,5
2020,8,5,9
2020,8,6,6
2020,8,7,15
2020,8,8,6
2020,8,9,7
2020,8,10,6
2020,8,11,10
2020,8,12,9
2020,8,13,13
2020,8,14,2
2020,8,15,8
2020,8,16,6
2020,8,17,9
2020,8,18,6
2020,8,19,10
2020,8,20,11
2020,8,21,3
2020,8,24,6
2020,8,25,7
2020,8,26,9
2020,8,27,9
2020,8,28,14
2020,8,29,2
2020,8,30,5
2020,8,31,10
2020,9,1,9
2020,9,2,10
2020,9,3,7
2020,9,4,6
2020,9,5,3
2020,9,6,6
2020,9,7,5
2020,9,8,9
2020,9,9,10
2020,9,10,5
2020,9,11,3
2020,9,12,3
2020,9,13,4
2020,9,14,4
2020,9,15,5
2020,9,16,12
2020,9,17,6
2020,9,18,11
2020,9,19,5
2020,9,20,5
2020,9,21,6
2020,9,22,10
2020,9,23,11
2020,9,24,6
2020,9,25,6
2020,9,26,7
2020,9,27,7
2020,9,28,9
2020,9,29,8
2020,9,30,4
2020,10,1,1
2020,10,3,7
2020,10,4,2
2020,10,5,5
2020,10,6,6
2020,10,7,2
2020,10,8,7
2020,10,9,7
2020,10,10,7
2020,10,11,5
2020,10,12,10
2020,10,13,7
2020,10,14,7
2020,10,15,4
2020,10,16,7
2020,10,17,8
2020,10,18,6
2020,10,19,7
2020,10,20,11
2020,10,21,5
2020,10,22,10
2020,10,23,11
2020,10,24,2
2020,10,25,3
2020,10,26,7
2020,10,27,6
2020,10,28,2
2020,10,29,7
2020,10,30,10
2020,10,31,6
2020,11,1,3
2020,11,2,6
2020,11,3,5
2020,11,4,9
2020,11,5,4
2020,11,6,7
2020,11,7,4
2020,11,8,5
2020,11,9,11
2020,11,10,11
2020,11,11,11
2020,11,12,11
2020,11,13,11
2020,11,14,4
2020,11,15,9
2020,11,16,6
2020,11,17,8
2020,11,18,6
2020,11,19,12
2020,11,20,10
2020,11,21,5
2020,11,22,11
2020,11,23,17
2020,11,24,8
2020,11,25,8
2020,11,26,8
2020,11,27,7
2020,11,28,4
2020,11,29,5
2020,11,30,10
2020,12,1,18
2020,12,2,13
2020,12,3,10
2020,12,4,11
2020,12,5,8
2020,12,6,11
2020,12,7,6
2020,12,8,7
2020,12,9,9
2020,12,10,9
2020,12,11,4
2020,12,12,9
2020,12,13,2
2020,12,14,10
2020,12,15,7
2020,12,16,10
2020,12,17,7
2020,12,18,7
2020,12,19,1
2020,12,20,8
2020,12,21,4
2020,12,22,9
2020,12,23,8
2020,12,24,5
2020,12,25,7
2020,12,26,2
2020,12,27,6
2020,12,28,7
2020,12,29,7
2020,12,30,12
2020,12,31,4
2021,1,1,4
2021,1,2,7
2021,1,3,5
2021,1,4,10
2021,1,5,5
2021,1,6,6
2021,1,7,3
2021,1,8,6
2021,1,9,2
2021,1,10,6
2021,1,11,10
2021,1,12,6
2021,1,13,7
2021,1,14,6
2021,1,15,9
2021,1,16,10
2021,1,17,4
2021,1,18,6
2021,1,19,14
2021,1,20,6
2021,1,21,9
2021,1,22,4
2021,1,23,4
2021,1,24,2
2021,1,25,3
