yr,mon,d,stars
2020,7,7,16
2020,7,8,12
2020,7,9,27
2020,7,10,37
2020,7,11,19
2020,7,12,19
2020,7,13,34
2020,7,14,24
2020,7,15,38
2020,7,16,18
2020,7,17,24
2020,7,18,23
2020,7,19,16
2020,7,20,17
2020,7,21,20
2020,7,22,20
2020,7,23,19
2020,7,24,24
2020,7,25,16
2020,7,26,16
2020,7,27,25
2020,7,28,32
2020,7,29,22
2020,7,30,28
2020,7,31,17
2020,8,1,19
2020,8,2,11
2020,8,3,25
2020,8,4,15
2020,8,5,26
2020,8,6,19
2020,8,7,26
2020,8,8,9
2020,8,9,12
2020,8,10,20
2020,8,11,32
2020,8,12,18
2020,8,13,21
2020,8,14,14
2020,8,15,15
2020,8,16,7
2020,8,17,17
2020,8,18,16
2020,8,19,30
2020,8,20,24
2020,8,21,15
2020,8,23,3
2020,8,24,17
2020,8,25,18
2020,8,26,23
2020,8,27,12
2020,8,28,24
2020,8,29,14
2020,8,30,13
2020,8,31,28
2020,9,1,16
2020,9,2,15
2020,9,3,27
2020,9,4,13
2020,9,5,15
2020,9,6,14
2020,9,7,24
2020,9,8,31
2020,9,9,30
2020,9,10,28
2020,9,11,29
2020,9,12,14
2020,9,13,19
2020,9,14,20
2020,9,15,24
2020,9,16,26
2020,9,17,21
2020,9,18,24
2020,9,19,18
2020,9,20,14
2020,9,21,16
2020,9,22,17
2020,9,23,21
2020,9,24,25
2020,9,25,18
2020,9,26,15
2020,9,27,15
2020,9,28,26
2020,9,29,18
2020,9,30,26
2020,10,1,9
2020,10,2,9
2020,10,3,9
2020,10,4,12
2020,10,5,8
2020,10,6,9
2020,10,7,9
2020,10,8,8
2020,10,9,18
2020,10,10,19
2020,10,11,17
2020,10,12,21
2020,10,13,26
2020,10,14,20
2020,10,15,14
2020,10,16,15
2020,10,17,10
2020,10,18,10
2020,10,19,16
2020,10,20,16
2020,10,21,18
2020,10,22,21
2020,10,23,18
2020,10,24,14
2020,10,25,10
2020,10,26,16
2020,10,27,17
2020,10,28,20
2020,10,29,22
2020,10,30,19
2020,10,31,18
2020,11,1,11
2020,11,2,15
2020,11,3,19
2020,11,4,18
2020,11,5,19
2020,11,6,13
2020,11,7,12
2020,11,8,14
2020,11,9,16
2020,11,10,24
2020,11,11,20
2020,11,12,20
2020,11,13,18
2020,11,14,11
2020,11,15,12
2020,11,16,17
2020,11,17,21
2020,11,18,25
2020,11,19,18
2020,11,20,18
2020,11,21,5
2020,11,22,19
2020,11,23,25
2020,11,24,15
2020,11,25,20
2020,11,26,18
2020,11,27,17
2020,11,28,12
2020,11,29,10
2020,11,30,21
2020,12,1,32
2020,12,2,22
2020,12,3,25
2020,12,4,13
2020,12,5,13
2020,12,6,18
2020,12,7,15
2020,12,8,26
2020,12,9,27
2020,12,10,21
2020,12,11,10
2020,12,12,18
2020,12,13,11
2020,12,14,14
2020,12,15,17
2020,12,16,16
2020,12,17,22
2020,12,18,22
2020,12,19,16
2020,12,20,16
2020,12,21,15
2020,12,22,18
2020,12,23,31
2020,12,24,32
2020,12,25,19
2020,12,26,17
2020,12,27,12
2020,12,28,17
2020,12,29,22
2020,12,30,15
2020,12,31,15
2021,1,1,11
2021,1,2,11
2021,1,3,7
2021,1,4,16
2021,1,5,25
2021,1,6,18
2021,1,7,18
2021,1,8,17
2021,1,9,12
2021,1,10,15
2021,1,11,25
2021,1,12,20
2021,1,13,27
2021,1,14,27
2021,1,15,17
2021,1,16,10
2021,1,17,6
2021,1,18,24
2021,1,19,24
2021,1,20,24
2021,1,21,19
2021,1,22,16
2021,1,23,19
2021,1,24,14
2021,1,25,21
2021,1,26,17
2021,1,27,15
2021,1,28,24
2021,1,29,18
2021,1,30,13
2021,1,31,15
2021,2,1,21
2021,2,2,15
2021,2,3,32
2021,2,4,23
2021,2,5,17
2021,2,6,17
2021,2,7,20
2021,2,8,24
2021,2,9,26
2021,2,10,13
2021,2,11,10
2021,2,12,12
2021,2,13,13
2021,2,14,8
2021,2,15,11
2021,2,16,11
2021,2,17,10
2021,2,18,16
2021,2,19,20
2021,2,20,14
2021,2,21,20
2021,2,22,16
2021,2,23,18
2021,2,24,21
2021,2,25,21
2021,2,26,22
2021,2,27,8
2021,2,28,14
2021,3,1,21
2021,3,2,19
2021,3,3,23
2021,3,4,29
2021,3,5,26
2021,3,6,24
2021,3,7,16
2021,3,8,15
2021,3,9,6
2021,3,11,17
2021,3,12,24
2021,3,13,13
2021,3,14,14
2021,3,15,19
2021,3,16,23
2021,3,17,13
2021,3,18,20
2021,3,19,25
2021,3,20,21
2021,3,21,15
2021,3,22,21
2021,3,23,18
2021,3,24,23
2021,3,25,29
2021,3,26,24
2021,3,27,9
2021,3,28,8
2021,3,29,25
2021,3,30,24
2021,3,31,14
2021,4,1,30
2021,4,2,23
2021,4,3,7
2021,4,4,13
2021,4,5,19
2021,4,6,23
2021,4,7,26
2021,4,8,30
2021,4,9,19
2021,4,10,25
2021,4,11,10
2021,4,12,23
2021,4,13,22
2021,4,14,20
2021,4,15,19
2021,4,16,10
2021,4,17,27
2021,4,18,19
2021,4,19,17
2021,4,20,29
2021,4,21,23
2021,4,22,26
2021,4,23,18
2021,4,24,12
2021,4,25,28
2021,4,26,21
2021,4,27,20
2021,4,28,12
2021,4,29,20
2021,4,30,14
2021,5,1,7
2021,5,2,16
2021,5,3,12
2021,5,4,18
2021,5,5,24
2021,5,6,16
2021,5,7,14
2021,5,9,6
2021,5,12,12
2021,5,13,18
2021,5,14,12
2021,5,15,17
2021,5,16,14
2021,5,17,21
2021,5,18,26
2021,5,19,16
2021,5,20,16
2021,5,21,21
2021,5,22,11
2021,5,23,15
2021,5,24,20
2021,5,25,10
2021,5,26,25
2021,5,27,16
2021,5,28,15
2021,5,29,15
2021,5,30,14
2021,5,31,10
2021,6,1,26
2021,6,2,144
2021,6,3,117
2021,6,4,20
2021,6,5,17
2021,6,6,12
2021,6,7,17
2021,6,8,8
2021,6,9,20
2021,6,10,22
2021,6,11,15
2021,6,12,4
2021,6,13,8
2021,6,14,6
2021,6,15,11
2021,6,16,20
2021,6,17,24
2021,6,18,14
2021,6,19,12
2021,6,20,12
2021,6,21,10
2021,6,22,25
2021,6,23,21
2021,6,24,11
2021,6,25,16
2021,6,26,10
2021,6,27,10
2021,6,28,14
2021,6,29,25
2021,6,30,14
2021,7,1,24
2021,7,2,22
2021,7,3,5
2021,7,4,12
2021,7,5,17
2021,7,6,23
2021,7,7,27
2021,7,8,61
2021,7,9,54
2021,7,10,27
2021,7,11,20
2021,7,12,23
2021,7,13,21
2021,7,14,24
2021,7,15,32
2021,7,16,27
2021,7,17,12
2021,7,18,14
2021,7,19,25
2021,7,20,15
2021,7,21,15
2021,7,22,33
2021,7,23,19
2021,7,24,15
2021,7,25,14
2021,7,26,24
2021,7,27,19
2021,7,28,26
2021,7,29,31
2021,7,30,23
2021,7,31,15
2021,8,1,12
2021,8,2,15
2021,8,3,13
2021,8,4,21
2021,8,5,20
2021,8,6,14
2021,8,7,17
2021,8,8,25
2021,8,9,24
2021,8,10,25
2021,8,11,10
2021,8,12,16
2021,8,13,18
2021,8,14,14
2021,8,15,13
2021,8,16,19
2021,8,17,20
2021,8,18,12
2021,8,19,14
2021,8,20,20
2021,8,21,11
2021,8,22,17
2021,8,23,18
2021,8,24,19
2021,8,28,14
2021,8,29,10
2021,8,30,14
2021,8,31,22
2021,9,1,23
2021,9,2,13
2021,9,3,16
2021,9,4,13
2021,9,5,11
