yr,mon,d,stars
2020,1,1,11
2020,1,2,13
2020,1,3,14
2020,1,4,5
2020,1,5,2
2020,1,6,16
2020,1,7,9
2020,1,8,13
2020,1,9,16
2020,1,10,13
2020,1,11,7
2020,1,12,8
2020,1,13,15
2020,1,14,15
2020,1,15,11
2020,1,16,18
2020,1,17,19
2020,1,18,4
2020,1,19,19
2020,1,20,22
2020,1,21,14
2020,1,22,24
2020,1,23,15
2020,1,24,13
2020,1,25,9
2020,1,26,8
2020,1,27,18
2020,1,28,11
2020,1,29,13
2020,1,30,23
2020,1,31,11
2020,2,1,7
2020,2,2,10
2020,2,3,9
2020,2,4,27
2020,2,5,24
2020,2,6,17
2020,2,7,21
2020,2,8,9
2020,2,9,12
2020,2,10,11
2020,2,11,19
2020,2,12,24
2020,2,13,35
2020,2,14,19
2020,2,15,9
2020,2,16,8
2020,2,17,15
2020,2,18,16
2020,2,19,19
2020,2,20,23
2020,2,21,15
2020,2,22,11
2020,2,23,13
2020,2,24,13
2020,2,25,18
2020,2,26,26
2020,2,27,17
2020,2,28,10
2020,2,29,5
2020,3,1,11
2020,3,2,15
2020,3,3,15
2020,3,4,41
2020,3,5,43
2020,3,6,18
2020,3,7,11
2020,3,8,11
2020,3,9,11
2020,3,10,22
2020,3,11,15
2020,3,12,15
2020,3,13,5
2020,3,14,7
2020,3,15,10
2020,3,16,14
2020,3,17,20
2020,3,18,21
2020,3,19,18
2020,3,20,13
2020,3,21,11
2020,3,22,5
2020,3,23,9
2020,3,24,14
2020,3,25,9
2020,3,26,11
2020,3,27,7
2020,3,28,12
2020,3,29,12
2020,3,30,16
2020,3,31,20
2020,4,1,14
2020,4,2,16
2020,4,3,8
2020,4,4,8
2020,4,5,9
2020,4,6,10
2020,4,7,8
2020,4,8,10
2020,4,9,15
2020,4,10,15
2020,4,11,6
2020,4,12,18
2020,4,13,17
2020,4,14,26
2020,4,15,24
2020,4,16,20
2020,4,17,17
2020,4,18,16
2020,4,19,14
2020,4,20,16
2020,4,21,17
2020,4,22,13
2020,4,23,17
2020,4,24,19
2020,4,25,7
2020,4,26,19
2020,4,27,18
2020,4,28,14
2020,4,29,24
2020,4,30,10
2020,5,1,14
2020,5,2,12
2020,5,3,11
2020,5,4,9
2020,5,5,17
2020,5,6,15
2020,5,7,20
2020,5,8,10
2020,5,9,14
2020,5,10,9
2020,5,11,14
2020,5,12,17
2020,5,13,18
2020,5,14,24
2020,5,15,14
2020,5,16,12
2020,5,17,15
2020,5,18,20
2020,5,19,10
2020,5,20,16
2020,5,21,13
2020,5,22,23
2020,5,23,17
2020,5,24,16
2020,5,25,19
2020,5,26,22
2020,5,27,23
2020,5,28,18
2020,5,29,21
2020,5,30,14
2020,5,31,8
2020,6,1,23
2020,6,2,24
2020,6,3,28
2020,6,4,29
2020,6,5,25
2020,6,6,11
2020,6,7,7
2020,6,8,16
2020,6,9,27
2020,6,10,14
2020,6,11,23
2020,6,12,27
2020,6,13,8
2020,6,14,5
2020,6,15,15
2020,6,16,13
2020,6,17,23
2020,6,18,14
2020,6,19,15
2020,6,20,8
2020,6,21,14
2020,6,22,18
2020,6,23,12
2020,6,24,17
2020,6,25,13
2020,6,26,14
2020,6,27,15
2020,6,28,9
2020,6,29,17
2020,6,30,18
2020,7,1,17
2020,7,2,15
2020,7,3,9
2020,7,4,9
2020,7,5,5
2020,7,6,14
2020,7,7,19
2020,7,8,23
2020,7,9,23
2020,7,10,15
2020,7,11,14
2020,7,12,12
2020,7,13,14
2020,7,14,15
2020,7,15,11
2020,7,16,7
2020,7,17,22
2020,7,18,11
2020,7,19,11
2020,7,20,16
2020,7,21,10
2020,7,22,16
2020,7,23,134
2020,7,24,84
2020,7,25,9
2020,7,26,10
2020,7,27,19
2020,7,28,16
2020,7,29,10
2020,7,30,24
2020,7,31,19
2020,8,1,8
2020,8,2,12
2020,8,3,12
2020,8,4,11
2020,8,5,12
2020,8,6,18
2020,8,7,10
2020,8,8,4
2020,8,9,9
2020,8,10,23
2020,8,11,22
2020,8,12,21
2020,8,13,21
2020,8,14,18
2020,8,15,12
2020,8,16,8
2020,8,17,16
2020,8,18,18
2020,8,19,16
2020,8,20,10
2020,8,21,2
2020,8,23,2
2020,8,24,12
2020,8,25,15
2020,8,26,22
2020,8,27,18
2020,8,28,19
2020,8,29,11
2020,8,30,10
2020,8,31,6
2020,9,1,14
2020,9,2,11
2020,9,3,9
2020,9,4,3
2020,9,5,4
2020,9,6,13
2020,9,7,12
2020,9,8,9
2020,9,9,22
2020,9,10,16
2020,9,11,12
2020,9,12,7
2020,9,13,14
2020,9,14,19
2020,9,15,17
2020,9,16,13
2020,9,17,17
2020,9,18,15
2020,9,19,9
2020,9,20,2
2020,9,21,15
2020,9,22,13
2020,9,23,13
2020,9,24,20
2020,9,25,11
2020,9,26,6
2020,9,27,2
2020,9,28,12
2020,9,29,17
2020,9,30,13
2020,10,1,14
2020,10,2,7
2020,10,3,11
2020,10,4,12
2020,10,5,7
2020,10,6,19
2020,10,7,14
