yr,mon,d,forks
2024,3,28,14
2024,3,29,36
2024,3,30,37
2024,3,31,76
2024,4,1,46
2024,4,2,32
2024,4,3,12
2024,4,4,15
2024,4,5,8
2024,4,6,4
2024,4,7,3
2024,4,8,7
2024,4,9,3
2024,4,10,1
2024,4,11,2
2024,4,12,3
2024,4,13,4
2024,4,14,5
2024,4,15,1
2024,4,16,5
2024,4,17,11
2024,4,18,25
2024,4,19,38
2024,4,20,8
2024,4,21,1
2024,4,22,5
2024,4,23,4
2024,4,24,4
2024,4,25,8
2024,4,26,6
2024,4,27,1
2024,4,28,5
2024,4,29,2
2024,4,30,1
2024,5,2,2
2024,5,3,2
2024,5,4,1
2024,5,5,6
2024,5,6,3
2024,5,7,1
2024,5,8,3
2024,5,9,7
2024,5,10,2
2024,5,11,1
2024,5,12,1
2024,5,13,2
2024,5,14,1
2024,5,15,1
2024,5,16,2
2024,5,17,1
2024,5,18,2
2024,5,20,2
2024,5,21,2
2024,5,24,1
2024,5,25,2
2024,5,26,2
2024,5,28,2
2024,6,1,1
2024,6,2,1
2024,6,3,1
2024,6,4,1
2024,6,5,1
2024,6,6,3
2024,6,8,1
2024,6,9,3
2024,6,12,2
2024,6,13,1
2024,6,14,2
2024,6,15,1
2024,6,19,2
2024,6,20,2
2024,6,21,1
2024,6,22,1
2024,6,23,2
2024,6,24,4
2024,6,25,1
2024,6,26,1
2024,6,27,1
2024,6,28,2
2024,7,1,1
2024,7,2,1
2024,7,3,1
2024,7,11,4
2024,7,15,1
2024,7,16,1
2024,7,18,2
2024,7,20,1
2024,7,22,1
2024,7,23,1
2024,7,25,1
2024,7,29,2
2024,7,30,2
2024,7,31,1
2024,8,1,2
2024,8,2,2
2024,8,4,2
2024,8,6,1
2024,8,7,2
2024,8,8,1
2024,8,9,1
2024,8,10,1
2024,8,13,1
2024,8,14,3
2024,8,15,2
2024,8,16,1
2024,8,17,1
2024,8,20,1
2024,8,21,1
2024,8,25,3
2024,8,26,2
2024,8,27,1
2024,8,28,1
2024,8,30,2
2024,8,31,1
2024,9,2,2
2024,9,3,1
2024,9,4,2
2024,9,5,1
2024,9,6,1
2024,9,7,1
2024,9,8,1
2024,9,9,1
2024,9,11,2
2024,9,12,2
2024,9,13,2
2024,9,14,2
2024,9,16,3
2024,9,17,6
2024,9,18,6
2024,9,19,2
2024,9,20,6
2024,9,21,1
2024,9,23,2
2024,9,26,3
2024,9,27,2
2024,10,1,1
2024,10,2,1
2024,10,5,1
2024,10,7,1
2024,10,8,3
2024,10,10,1
2024,10,11,2
2024,10,14,2
2024,10,15,2
2024,10,16,2
2024,10,17,1
2024,10,18,1
2024,10,21,1
2024,10,22,1
2024,10,23,3
2024,10,24,1
2024,10,25,2
2024,10,27,1
2024,10,28,2
2024,10,30,1
2024,11,1,1
2024,11,2,1
2024,11,4,2
2024,11,8,2
2024,11,10,1
2024,11,11,2
2024,11,12,2
2024,11,13,1
2024,11,15,1
2024,11,18,1
2024,11,21,2
2024,11,22,1
2024,11,26,1
2024,11,27,4
2024,11,28,1
2024,11,29,1
2024,11,30,2
2024,12,1,2
2024,12,3,2
2024,12,4,4
2024,12,5,1
2024,12,6,2
2024,12,8,1
2024,12,9,1
2024,12,10,2
2024,12,11,1
2024,12,12,2
2024,12,16,1
2024,12,17,3
2024,12,19,1
2024,12,25,1
2024,12,27,1
2024,12,30,1
2025,1,6,2
2025,1,9,1
2025,1,10,1
2025,1,12,1
2025,1,13,1
2025,1,15,2
2025,1,16,1
2025,1,17,1
2025,1,24,1
2025,1,25,1
2025,1,29,1
2025,2,3,1
2025,2,5,3
2025,2,6,1
2025,2,7,3
2025,2,8,2
2025,2,11,2
2025,2,14,3
2025,2,15,1
2025,2,17,2
2025,2,18,1
2025,2,20,1
2025,2,21,3
2025,2,23,1
2025,2,26,1
2025,2,27,2
2025,2,28,1
2025,3,1,1
2025,3,4,4
2025,3,5,1
2025,3,7,1
2025,3,9,1
2025,3,10,1
2025,3,12,2
2025,3,14,1
2025,3,17,1
2025,3,21,4
2025,3,22,1
2025,3,23,1
2025,3,24,1
2025,3,25,1
2025,3,26,1
2025,3,28,2
2025,3,29,2
2025,3,31,1
