yr,mon,d,stars
2024,3,28,518
2024,3,29,1482
2024,3,30,1090
2024,3,31,1083
2024,4,1,850
2024,4,2,383
2024,4,3,245
2024,4,4,897
2024,4,5,464
2024,4,6,306
2024,4,7,176
2024,4,8,186
2024,4,9,417
2024,4,10,199
2024,4,11,238
2024,4,12,277
2024,4,13,116
2024,4,14,68
2024,4,15,78
2024,4,16,148
2024,4,17,328
2024,4,18,593
2024,4,19,549
2024,4,20,214
2024,4,21,95
2024,4,22,128
2024,4,23,117
2024,4,24,105
2024,4,25,84
2024,4,26,67
2024,4,27,67
2024,4,28,66
2024,4,29,66
2024,4,30,68
2024,5,1,46
2024,5,2,66
2024,5,3,62
2024,5,4,36
2024,5,5,33
2024,5,6,35
2024,5,7,42
2024,5,8,32
2024,5,9,38
2024,5,10,35
2024,5,11,25
2024,5,12,23
2024,5,13,38
2024,5,14,27
2024,5,15,32
2024,5,16,16
2024,5,17,19
2024,5,18,14
2024,5,19,14
2024,5,20,35
2024,5,21,19
2024,5,22,23
2024,5,23,18
2024,5,24,25
2024,5,25,22
2024,5,26,17
2024,5,27,35
2024,5,28,43
2024,5,29,19
2024,5,30,23
2024,5,31,15
2024,6,1,19
2024,6,2,11
2024,6,3,16
2024,6,4,23
2024,6,5,29
2024,6,6,25
2024,6,7,15
2024,6,8,11
2024,6,9,7
2024,6,10,15
2024,6,11,21
2024,6,12,19
2024,6,13,17
2024,6,14,12
2024,6,15,13
2024,6,16,6
2024,6,17,16
2024,6,18,25
2024,6,19,22
2024,6,20,26
2024,6,21,18
2024,6,22,16
2024,6,23,9
2024,6,24,20
2024,6,25,13
2024,6,26,11
2024,6,27,18
2024,6,28,16
2024,6,29,15
2024,6,30,5
2024,7,1,15
2024,7,2,23
2024,7,3,13
2024,7,4,17
2024,7,5,10
2024,7,6,4
2024,7,7,21
2024,7,8,30
2024,7,9,16
2024,7,10,14
2024,7,11,28
2024,7,12,17
2024,7,13,9
2024,7,14,13
2024,7,15,13
2024,7,16,12
2024,7,17,16
2024,7,18,15
2024,7,19,8
2024,7,20,6
2024,7,21,11
2024,7,22,18
2024,7,23,14
2024,7,24,14
2024,7,25,7
2024,7,26,13
2024,7,27,4
2024,7,28,9
2024,7,29,20
2024,7,30,14
2024,7,31,17
2024,8,1,14
2024,8,2,5
2024,8,3,14
2024,8,4,12
2024,8,5,11
2024,8,6,9
2024,8,7,16
2024,8,8,16
2024,8,9,10
2024,8,10,9
2024,8,11,5
2024,8,12,9
2024,8,13,12
2024,8,14,16
2024,8,15,14
2024,8,16,9
2024,8,17,21
2024,8,18,18
2024,8,19,11
2024,8,20,11
2024,8,21,9
2024,8,22,9
2024,8,23,13
2024,8,24,5
2024,8,25,7
2024,8,26,9
2024,8,27,29
2024,8,28,26
2024,8,29,20
2024,8,30,18
2024,8,31,15
2024,9,1,12
2024,9,2,28
2024,9,3,30
2024,9,4,33
2024,9,5,26
2024,9,6,25
2024,9,7,8
2024,9,8,11
2024,9,9,24
2024,9,10,10
2024,9,11,14
2024,9,12,14
2024,9,13,19
2024,9,14,38
2024,9,15,14
2024,9,16,67
2024,9,17,83
2024,9,18,150
2024,9,19,62
2024,9,20,44
2024,9,21,36
2024,9,22,38
2024,9,23,44
2024,9,24,46
2024,9,25,15
2024,9,26,33
2024,9,27,26
2024,9,28,14
2024,9,29,11
2024,9,30,16
2024,10,1,10
2024,10,2,20
2024,10,3,15
2024,10,4,21
2024,10,5,18
2024,10,6,8
2024,10,7,16
2024,10,8,21
2024,10,9,74
2024,10,10,37
2024,10,11,60
2024,10,12,28
2024,10,13,8
2024,10,14,47
2024,10,15,33
2024,10,16,29
2024,10,17,24
2024,10,18,22
2024,10,19,16
2024,10,20,7
2024,10,21,16
2024,10,22,27
2024,10,23,19
2024,10,24,13
2024,10,25,22
2024,10,26,15
2024,10,27,15
2024,10,28,15
2024,10,29,16
2024,10,30,20
2024,10,31,18
2024,11,1,8
2024,11,2,11
2024,11,3,8
2024,11,4,13
2024,11,5,20
2024,11,6,18
2024,11,7,12
2024,11,8,12
2024,11,9,13
2024,11,10,10
2024,11,11,14
2024,11,12,15
2024,11,13,17
2024,11,14,20
2024,11,15,13
2024,11,16,8
2024,11,17,11
2024,11,18,7
2024,11,19,9
2024,11,20,21
2024,11,21,27
2024,11,22,9
2024,11,23,5
2024,11,24,9
2024,11,25,14
2024,11,26,45
2024,11,27,66
2024,11,28,49
2024,11,29,29
2024,11,30,27
2024,12,1,21
2024,12,2,32
2024,12,3,46
2024,12,4,41
2024,12,5,34
2024,12,6,26
2024,12,7,13
2024,12,8,6
2024,12,9,17
2024,12,10,19
2024,12,11,36
2024,12,12,30
2024,12,13,23
2024,12,14,10
2024,12,15,18
2024,12,16,18
2024,12,17,27
2024,12,18,11
2024,12,19,11
2024,12,20,18
2024,12,21,7
2024,12,22,9
2024,12,23,17
2024,12,24,10
2024,12,25,18
2024,12,26,19
2024,12,27,12
2024,12,28,10
2024,12,29,13
2024,12,30,11
2024,12,31,16
2025,1,1,23
2025,1,2,21
2025,1,3,14
2025,1,4,16
2025,1,5,10
2025,1,6,12
2025,1,7,9
2025,1,8,8
2025,1,9,15
2025,1,10,8
2025,1,11,6
2025,1,12,7
2025,1,13,20
2025,1,14,19
2025,1,15,9
2025,1,16,15
2025,1,17,9
2025,1,18,4
2025,1,19,7
2025,1,20,14
2025,1,21,10
2025,1,22,12
2025,1,23,13
2025,1,24,10
2025,1,25,16
2025,1,26,10
2025,1,27,11
2025,1,28,19
2025,1,29,22
2025,1,30,10
2025,1,31,9
2025,2,1,11
2025,2,2,5
2025,2,3,10
2025,2,4,12
2025,2,5,17
2025,2,6,13
2025,2,7,16
2025,2,8,16
2025,2,9,9
2025,2,10,15
2025,2,11,10
2025,2,12,12
2025,2,13,15
2025,2,14,20
2025,2,15,15
2025,2,16,8
2025,2,17,33
2025,2,18,15
2025,2,19,30
2025,2,20,16
2025,2,21,43
2025,2,22,36
2025,2,23,28
2025,2,24,23
2025,2,25,26
2025,2,26,26
2025,2,27,22
2025,2,28,17
2025,3,1,22
2025,3,2,15
2025,3,3,17
2025,3,4,23
2025,3,5,19
2025,3,6,23
2025,3,7,20
2025,3,8,12
2025,3,9,15
2025,3,10,14
2025,3,11,14
2025,3,12,12
2025,3,13,14
2025,3,14,19
2025,3,15,9
2025,3,16,21
2025,3,17,31
2025,3,18,13
2025,3,19,17
2025,3,20,17
2025,3,21,9
2025,3,22,6
2025,3,23,14
2025,3,24,12
2025,3,25,24
2025,3,26,32
2025,3,27,17
2025,3,28,18
2025,3,29,15
2025,3,30,10
2025,3,31,11
2025,4,1,29
2025,4,2,26
