project,relicense_date,orig_license,new_license,org,repo,license_file
Akka,2022-09-07,Apache-2.0,Business Source License,akka,akka,LICENSE
ArangoDB,2024-02-23,Apache-2.0,Business Source License,arangodb,arangodb,LICENSE
Aseprite,2016-08-29,GPL-2.0,EULA that permits personal use but forbids redistribution,aseprite,aseprite,EULA.txt
CockroachDB,2019-06-04,Apache-2.0,Business Source License,cockroachdb,cockroach,LICENSE
Confluent,2018-12-14,Apache-2.0,Confluent Community License Agreement,confluentinc,ksql,LICENSE
Consul,2023-08-11,MPL-2.0,Business Source License,hashicorp,consul,LICENSE
Elasticsearch,2021-02-03,Apache-2.0,"Elastic License and Server Side Public License",elastic,elasticsearch,LICENSE.txt
Elasticsearch,2021-02-03,Apache-2.0,"Elastic License and Server Side Public License",elastic,kibana,LICENSE.txt
LiveCode,2021-08-31,GPL-3.0-only,project archived,livecode,livecode,LICENSE
MongoDB,2018-10-16,AGPL-3.0-only,Server Side Public License,mongodb,mongo,LICENSE-Community.txt
OTRS,2021-01-27,GPL-3.0-or-later,project archived,OTRS,otrs,COPYING
Redis,2024-03-20,BSD-3-Clause,dual: custom license and Server Side Public License,redis,redis,LICENSE.txt
Sentry,2019-11-06,BSD-3-Clause,Business Source License,getsentry,sentry,LICENSE.md
Sourcegraph,2018-10-27,Apache-2.0,Sourcegraph Enterprise license,sourcegraph,sourcegraph,LICENSE
Terraform,2023-08-10,MPL-2.0,Business Source License,hashicorp,terraform,LICENSE
Timescale,2018-12-29,Apache-2.0,Timescale License,timescale,timescaledb,LICENSE
Vagrant,2023-08-10,MIT,Business Source License,hashicorp,vagrant,LICENSE
