fork_name,fork_date,fork_repo,fork_lic,fork_owner,from_name,from_repo,from_lic,from_owner,category,notes,Type,source_citation,additional_notes
Flock,2024-10-27,https://github.com/join-the-flock/flock,BSD-3-clause,,Flutter,https://github.com/flutter/flutter,BSD-3-clause,Google,feature,Community fork for faster iteration speed. Probably friendly.,clone fork,https://getflocked.dev/blog/posts/we-are-forking-flutter-this-is-why/,friendly 
Fossify Calendar,2023-12-03,https://github.com/FossifyOrg/Calendar,GPL-3.0,,Simple-Calendar,https://github.com/SimpleMobileTools/Simple-Calendar,GPL-3.0,ZipoApps,acquisition,"SimpleMobileTools was sold to ZipoApps, the community forked it",clone fork,https://github.com/SimpleMobileTools/General-Discussion/issues/241#issuecomment-1837102917,"hostile, original got bought by ad tech company"
Fossify File Manager,2023-12-03,https://github.com/FossifyOrg/File-Manager,GPL-3.0,,Simple-File-Manager,https://github.com/SimpleMobileTools/Simple-File-Manager,GPL-3.0,ZipoApps,acquisition,"SimpleMobileTools was sold to ZipoApps, the community forked it",clone fork,https://github.com/SimpleMobileTools/General-Discussion/issues/241#issuecomment-1837102917,"hostile, original got bought by ad tech company"
Fossify Gallery,2023-12-03,https://github.com/FossifyOrg/Gallery,GPL-3.0,,Simple-Gallery,https://github.com/SimpleMobileTools/Simple-Gallery,GPL-3.0,ZipoApps,acquisition,"SimpleMobileTools was sold to ZipoApps, the community forked it",clone fork,https://github.com/SimpleMobileTools/General-Discussion/issues/241#issuecomment-1837102917,"hostile, original got bought by ad tech company"
Fossify Music Player,2023-12-03,https://github.com/FossifyOrg/Music-Player,GPL-3.0,,Simple-Music-Player,https://github.com/SimpleMobileTools/Simple-Music-Player,GPL-3.0,ZipoApps,acquisition,"SimpleMobileTools was sold to ZipoApps, the community forked it",clone fork,https://github.com/SimpleMobileTools/General-Discussion/issues/241#issuecomment-1837102917,"hostile, original got bought by ad tech company"
Fossify Contacts,2023-12-03,https://github.com/FossifyOrg/Contacts,GPL-3.0,,Simple-Contacts,https://github.com/SimpleMobileTools/Simple-Contacts,GPL-3.0,ZipoApps,acquisition,"SimpleMobileTools was sold to ZipoApps, the community forked it",clone fork,https://github.com/SimpleMobileTools/General-Discussion/issues/241#issuecomment-1837102917,"hostile, original got bought by ad tech company"
Fossify Notes,2023-12-03,https://github.com/FossifyOrg/Notes,GPL-3.0,,Simple-Notes,https://github.com/SimpleMobileTools/Simple-Notes,GPL-3.0,ZipoApps,acquisition,"SimpleMobileTools was sold to ZipoApps, the community forked it",clone fork,https://github.com/SimpleMobileTools/General-Discussion/issues/241#issuecomment-1837102917,"hostile, original got bought by ad tech company"
Fossify Messages,2023-12-03,https://github.com/FossifyOrg/Messages,GPL-3.0,,Simple-SMS-Messenger,https://github.com/SimpleMobileTools/Simple-SMS-Messenger,GPL-3.0,ZipoApps,acquisition,"SimpleMobileTools was sold to ZipoApps, the community forked it",clone fork,https://github.com/SimpleMobileTools/General-Discussion/issues/241#issuecomment-1837102917,"hostile, original got bought by ad tech company"
Fossify Phone,2023-12-03,https://github.com/FossifyOrg/Phone,GPL-3.0,,Simple-Dialer,https://github.com/SimpleMobileTools/Simple-Dialer,GPL-3.0,ZipoApps,acquisition,"SimpleMobileTools was sold to ZipoApps, the community forked it",clone fork,https://github.com/SimpleMobileTools/General-Discussion/issues/241#issuecomment-1837102917,"hostile, original got bought by ad tech company"
Fossify Keyboard,2023-12-03,https://github.com/FossifyOrg/Keyboard,GPL-3.0,,Simple-Keyboard,https://github.com/SimpleMobileTools/Simple-Keyboard,GPL-3.0,ZipoApps,acquisition,"SimpleMobileTools was sold to ZipoApps, the community forked it",clone fork,https://github.com/SimpleMobileTools/General-Discussion/issues/241#issuecomment-1837102917,"hostile, original got bought by ad tech company"
QUIK,,https://github.com/octoshrimpy/quik,GPL-3.0,,QKSMS,https://github.com/moezbhatti/qksms,GPL-3.0,,feature,QKSMS was unmaintained and got forked,clone fork,,
HeliBoard,,https://github.com/Helium314/HeliBoard,GPL-3.0 and Apache 2,,OpenBoard,https://github.com/openboard-team/openboard,GPL-3.0,Openboard Team,feature,OpenBoard was unmaintained,clone fork,,
Tenacity,,https://codeberg.org/tenacityteam/tenacity,GPL-2.0,,Audacity,https://github.com/audacity/audacity,GPL-3.0,,feature,,,,
